epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1344,0.93267,2.78479,1.35442,0.00333,1,0.24368,0.10696,0.91644,3.61139,1.67331,8e-05,8e-05,8e-05
2,37.9191,0.85044,2.39361,1.35331,0.00317,0.95,0.33307,0.1921,1.03331,3.55976,1.80477,0.000176436,0.000176436,0.000176436
3,54.0601,0.8881,1.88943,1.35358,0.00333,1,0.2017,0.11199,1.44706,3.81669,2.1133,0.000268912,0.000268912,0.000268912
4,70.3608,0.91255,1.88786,1.41484,0.00333,1,0.343,0.1658,1.34679,3.68249,2.03837,0.000357428,0.000357428,0.000357428
5,86.6715,0.76831,1.58273,1.31522,0.003,0.9,0.47383,0.26007,1.21614,3.42766,1.94125,0.000441984,0.000441984,0.000441984
6,102.633,0.86504,1.75692,1.34512,0.38182,0.3,0.40895,0.23609,1.20741,3.38685,1.97615,0.00052258,0.00052258,0.00052258
7,118.911,0.76328,1.74305,1.34764,0.72695,0.15,0.33696,0.13703,1.53736,3.49017,2.377,0.000599216,0.000599216,0.000599216
8,139.59,0.94272,1.89129,1.48586,0.5051,0.05,0.40264,0.11523,1.61622,3.47678,2.42556,0.000671892,0.000671892,0.000671892
9,155.576,0.82399,1.55368,1.26259,0.33929,0.45,0.26085,0.08023,1.63349,3.44975,2.84419,0.000740608,0.000740608,0.000740608
10,171.535,0.78215,1.49785,1.26436,0.52058,0.4,0.31142,0.15263,1.50939,3.31573,2.62684,0.000805364,0.000805364,0.000805364
11,187.709,0.88439,1.43951,1.35548,0.44892,0.3267,0.3683,0.17043,1.66382,3.40614,2.73574,0.00086616,0.00086616,0.00086616
12,203.685,0.82464,1.41194,1.31329,0.3112,0.35,0.26654,0.07088,1.95065,3.44406,2.97908,0.000922996,0.000922996,0.000922996
13,219.422,0.98831,1.69147,1.45915,0.41374,0.2,0.25179,0.06163,1.97322,3.49737,2.84061,0.000975872,0.000975872,0.000975872
14,235.111,0.90826,1.60114,1.38412,0.56441,0.38936,0.487,0.28083,1.46787,3.10071,2.33348,0.00102479,0.00102479,0.00102479
15,251.558,0.98672,1.54461,1.39711,0.88044,0.3696,0.50295,0.25472,1.58123,3.01767,2.88265,0.00106974,0.00106974,0.00106974
16,267.559,1.03294,1.7964,1.50897,0.68823,0.35,0.44122,0.1576,1.60863,3.18726,2.99093,0.00111074,0.00111074,0.00111074
17,283.218,0.93509,1.54925,1.41127,0.30719,0.55,0.36277,0.17245,1.61613,3.83777,2.62698,0.00114778,0.00114778,0.00114778
18,299.229,0.93196,1.57583,1.40898,0.40068,0.5,0.30865,0.12893,1.92226,3.26634,3.17064,0.00118085,0.00118085,0.00118085
19,315.284,1.00419,1.58888,1.39129,0.37972,0.5,0.41132,0.12458,1.78465,3.16174,3.111,0.00120997,0.00120997,0.00120997
20,331.478,0.98671,1.46324,1.4317,0.43051,0.35,0.24831,0.1039,2.04955,3.13638,2.9211,0.00123512,0.00123512,0.00123512
21,347.241,0.93428,1.38668,1.48348,0.36968,0.25,0.22172,0.07515,2.51068,3.40968,3.42743,0.001208,0.001208,0.001208
22,363.065,0.86315,1.25405,1.33572,0.17856,0.2,0.04681,0.00971,3.58821,4.60015,4.01173,0.0011684,0.0011684,0.0011684
23,380.188,0.83379,1.34292,1.33852,0.00112,0.3,0.00205,0.00087,4.23377,5.69949,4.46342,0.0011288,0.0011288,0.0011288
24,397.839,0.80234,1.28865,1.23503,0.31859,0.25,0.15581,0.04647,2.81622,3.71916,3.33521,0.0010892,0.0010892,0.0010892
25,415.289,0.83875,1.22477,1.32745,0.32846,0.3,0.21653,0.053,2.66142,3.30563,3.26503,0.0010496,0.0010496,0.0010496
26,431.592,0.89375,1.36274,1.34602,0.38128,0.3,0.21815,0.0556,2.6456,3.40602,3.21886,0.00101,0.00101,0.00101
27,447.574,0.79126,1.14994,1.26478,0.33121,0.35,0.22469,0.05417,2.46653,3.36054,2.9669,0.0009704,0.0009704,0.0009704
28,463.493,0.74716,1.15679,1.25989,0.37287,0.4,0.25866,0.11715,2.21485,3.04807,2.67123,0.0009308,0.0009308,0.0009308
29,479.268,0.83558,1.17905,1.32795,0.41915,0.3,0.22594,0.09164,2.21762,3.04092,2.7209,0.0008912,0.0008912,0.0008912
30,495.037,0.84459,1.22974,1.37063,0.62614,0.4,0.43885,0.17198,2.11917,2.74683,2.74067,0.0008516,0.0008516,0.0008516
31,510.737,0.85413,1.15269,1.24283,0.86077,0.45,0.5557,0.21496,2.03912,2.68743,2.78293,0.000812,0.000812,0.000812
32,526.427,0.73819,1.00862,1.21849,0.43975,0.5,0.39477,0.16737,1.76096,2.74348,2.51625,0.0007724,0.0007724,0.0007724
33,542.233,0.81324,1.09164,1.29579,0.46814,0.57263,0.40927,0.16963,1.81433,2.62355,2.59889,0.0007328,0.0007328,0.0007328
